Zip Code,GEO_ID,NAME,B08105I_001E,B08105I_001M,B08105I_002E,B08105I_002M,B08105I_003E,B08105I_003M,B08105I_004E,B08105I_004M,B08105I_005E,B08105I_005M,B08105I_006E,B08105I_006M,B08105I_007E,B08105I_007M
Chicago,id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,"Estimate!!Total!!Car, truck, or van - drove alone","Margin of Error!!Total!!Car, truck, or van - drove alone","Estimate!!Total!!Car, truck, or van - carpooled","Margin of Error!!Total!!Car, truck, or van - carpooled",Estimate!!Total!!Public transportation (excluding taxicab),Margin of Error!!Total!!Public transportation (excluding taxicab),Estimate!!Total!!Walked,Margin of Error!!Total!!Walked,"Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means",Estimate!!Total!!Worked at home,Margin of Error!!Total!!Worked at home
60601,8600000US60601,60601,856.0,272.0,270.0,216.0,0.0,17.0,128.0,93.0,313.0,187.0,52.0,85.0,93.0,170.0
60602,8600000US60602,60602,70.0,79.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,20.0,34.0,50.0,69.0
60603,8600000US60603,60603,66.0,72.0,13.0,14.0,42.0,68.0,0.0,11.0,11.0,16.0,0.0,11.0,0.0,11.0
60604,8600000US60604,60604,17.0,14.0,0.0,11.0,0.0,11.0,0.0,11.0,12.0,13.0,0.0,11.0,5.0,7.0
60605,8600000US60605,60605,942.0,347.0,374.0,264.0,106.0,104.0,199.0,169.0,215.0,125.0,40.0,46.0,8.0,16.0
60606,8600000US60606,60606,145.0,96.0,20.0,31.0,0.0,11.0,27.0,46.0,78.0,59.0,20.0,32.0,0.0,11.0
60607,8600000US60607,60607,1322.0,283.0,449.0,147.0,108.0,74.0,471.0,159.0,227.0,107.0,13.0,22.0,54.0,60.0
60608,8600000US60608,60608,16957.0,1117.0,7760.0,734.0,2008.0,379.0,4901.0,596.0,979.0,221.0,957.0,251.0,352.0,131.0
60609,8600000US60609,60609,13344.0,769.0,7023.0,485.0,2348.0,380.0,2616.0,380.0,978.0,193.0,143.0,91.0,236.0,84.0
60610,8600000US60610,60610,1544.0,303.0,213.0,96.0,55.0,57.0,606.0,195.0,214.0,94.0,341.0,203.0,115.0,125.0
60611,8600000US60611,60611,1074.0,288.0,286.0,185.0,13.0,21.0,270.0,123.0,495.0,177.0,0.0,23.0,10.0,14.0
