Zip Code,GEO_ID,NAME,B08105I_001E,B08105I_001M,B08105I_002E,B08105I_002M,B08105I_003E,B08105I_003M,B08105I_004E,B08105I_004M,B08105I_005E,B08105I_005M,B08105I_006E,B08105I_006M,B08105I_007E,B08105I_007M
60612,8600000US60612,60612,2231.0,326.0,1052.0,227.0,147.0,78.0,609.0,178.0,159.0,67.0,155.0,89.0,109.0,52.0
60613,8600000US60613,60613,3730.0,584.0,1149.0,315.0,159.0,102.0,2093.0,410.0,169.0,80.0,141.0,93.0,19.0,17.0
60614,8600000US60614,60614,2480.0,351.0,952.0,246.0,64.0,46.0,965.0,188.0,226.0,91.0,129.0,70.0,144.0,67.0
60615,8600000US60615,60615,1289.0,281.0,325.0,110.0,43.0,41.0,338.0,111.0,351.0,148.0,118.0,75.0,114.0,78.0
60616,8600000US60616,60616,2400.0,397.0,1313.0,289.0,164.0,58.0,491.0,174.0,184.0,94.0,156.0,88.0,92.0,88.0
60617,8600000US60617,60617,11755.0,702.0,8367.0,634.0,1308.0,260.0,1468.0,264.0,308.0,106.0,74.0,47.0,230.0,102.0
60618,8600000US60618,60618,18149.0,1002.0,9482.0,721.0,2413.0,470.0,4791.0,633.0,687.0,207.0,291.0,115.0,485.0,181.0
60619,8600000US60619,60619,346.0,167.0,277.0,173.0,15.0,22.0,19.0,30.0,0.0,26.0,17.0,28.0,18.0,20.0
60620,8600000US60620,60620,259.0,108.0,162.0,86.0,38.0,36.0,16.0,20.0,0.0,26.0,0.0,26.0,43.0,33.0
60621,8600000US60621,60621,261.0,135.0,204.0,128.0,14.0,21.0,11.0,18.0,0.0,20.0,6.0,9.0,26.0,30.0
60622,8600000US60622,60622,5499.0,583.0,2694.0,367.0,500.0,185.0,1393.0,276.0,318.0,138.0,406.0,170.0,188.0,106.0
60623,8600000US60623,60623,22199.0,933.0,11759.0,728.0,4847.0,578.0,3544.0,479.0,1254.0,262.0,206.0,98.0,589.0,163.0
60624,8600000US60624,60624,583.0,225.0,274.0,164.0,16.0,19.0,263.0,141.0,0.0,23.0,27.0,43.0,3.0,6.0
60625,8600000US60625,60625,12981.0,1081.0,6633.0,698.0,1069.0,307.0,3867.0,619.0,577.0,184.0,439.0,163.0,396.0,188.0
60626,8600000US60626,60626,5520.0,679.0,2002.0,382.0,459.0,208.0,2149.0,389.0,407.0,180.0,304.0,142.0,199.0,112.0
60628,8600000US60628,60628,979.0,190.0,733.0,189.0,107.0,76.0,85.0,48.0,22.0,21.0,26.0,27.0,6.0,11.0
60629,8600000US60629,60629,32001.0,1358.0,19827.0,1098.0,5525.0,700.0,5194.0,636.0,693.0,224.0,269.0,142.0,493.0,181.0
60630,8600000US60630,60630,7757.0,811.0,4984.0,582.0,640.0,236.0,1800.0,315.0,138.0,92.0,77.0,62.0,118.0,87.0
60631,8600000US60631,60631,1403.0,248.0,1078.0,184.0,134.0,99.0,101.0,66.0,25.0,41.0,0.0,20.0,65.0,57.0
60632,8600000US60632,60632,31051.0,1092.0,17898.0,876.0,4831.0,493.0,6608.0,732.0,1091.0,235.0,316.0,136.0,307.0,119.0
60633,8600000US60633,60633,2547.0,617.0,2142.0,585.0,193.0,104.0,171.0,99.0,0.0,17.0,0.0,17.0,41.0,43.0
60634,8600000US60634,60634,14338.0,1016.0,10584.0,831.0,1352.0,297.0,1563.0,304.0,330.0,116.0,337.0,162.0,172.0,82.0
60636,8600000US60636,60636,897.0,223.0,557.0,169.0,181.0,105.0,146.0,76.0,13.0,14.0,0.0,23.0,0.0,23.0
60637,8600000US60637,60637,590.0,146.0,148.0,74.0,40.0,47.0,166.0,85.0,176.0,71.0,27.0,23.0,33.0,32.0
60638,8600000US60638,60638,13547.0,1168.0,10018.0,910.0,987.0,229.0,1957.0,406.0,324.0,144.0,63.0,40.0,198.0,102.0
60639,8600000US60639,60639,32488.0,1406.0,19672.0,1002.0,4503.0,548.0,5340.0,519.0,1228.0,295.0,1139.0,293.0,606.0,190.0
60640,8600000US60640,60640,5429.0,688.0,2052.0,407.0,326.0,133.0,2492.0,500.0,380.0,165.0,144.0,87.0,35.0,31.0
60641,8600000US60641,60641,18439.0,859.0,11323.0,654.0,2194.0,360.0,3627.0,527.0,413.0,164.0,450.0,165.0,432.0,173.0
60642,8600000US60642,60642,2107.0,433.0,750.0,175.0,66.0,58.0,987.0,348.0,131.0,146.0,72.0,51.0,101.0,60.0
60643,8600000US60643,60643,615.0,219.0,363.0,138.0,66.0,53.0,153.0,91.0,17.0,35.0,0.0,23.0,16.0,18.0
60644,8600000US60644,60644,1278.0,288.0,740.0,223.0,320.0,169.0,161.0,101.0,0.0,23.0,57.0,51.0,0.0,23.0
60645,8600000US60645,60645,3411.0,542.0,2018.0,356.0,401.0,215.0,811.0,297.0,126.0,72.0,38.0,47.0,17.0,26.0
60646,8600000US60646,60646,1899.0,490.0,1477.0,380.0,109.0,67.0,180.0,120.0,0.0,20.0,11.0,17.0,122.0,140.0
60647,8600000US60647,60647,17889.0,864.0,9942.0,658.0,1495.0,223.0,4469.0,518.0,835.0,256.0,505.0,139.0,643.0,160.0
60649,8600000US60649,60649,579.0,254.0,227.0,148.0,47.0,58.0,235.0,152.0,0.0,23.0,9.0,14.0,61.0,62.0
60651,8600000US60651,60651,11485.0,1176.0,7403.0,964.0,1522.0,335.0,1871.0,367.0,171.0,83.0,386.0,152.0,132.0,71.0
60652,8600000US60652,60652,7213.0,511.0,5229.0,425.0,1160.0,284.0,657.0,200.0,18.0,30.0,18.0,17.0,131.0,102.0
60653,8600000US60653,60653,304.0,102.0,143.0,60.0,32.0,32.0,81.0,54.0,0.0,23.0,13.0,22.0,35.0,35.0
60654,8600000US60654,60654,803.0,276.0,62.0,55.0,19.0,30.0,255.0,127.0,436.0,246.0,13.0,21.0,18.0,29.0
60655,8600000US60655,60655,989.0,169.0,769.0,152.0,140.0,66.0,36.0,34.0,29.0,27.0,0.0,20.0,15.0,17.0
60656,8600000US60656,60656,1789.0,328.0,1179.0,291.0,236.0,133.0,246.0,104.0,23.0,31.0,31.0,45.0,74.0,61.0
60657,8600000US60657,60657,3356.0,500.0,771.0,204.0,224.0,101.0,1867.0,366.0,279.0,123.0,148.0,54.0,67.0,60.0
60659,8600000US60659,60659,3785.0,768.0,2128.0,457.0,328.0,143.0,956.0,406.0,174.0,130.0,118.0,93.0,81.0,55.0
60660,8600000US60660,60660,4173.0,473.0,1729.0,348.0,260.0,120.0,1537.0,330.0,240.0,117.0,198.0,170.0,209.0,150.0
60661,8600000US60661,60661,499.0,187.0,150.0,113.0,0.0,15.0,140.0,105.0,177.0,90.0,0.0,15.0,32.0,35.0
60666,,,,,,,,,,,,,,,,
60707,8600000US60707,60707,7521.0,645.0,5526.0,717.0,588.0,223.0,1007.0,241.0,96.0,81.0,192.0,181.0,112.0,78.0
60827,8600000US60827,60827,347.0,187.0,253.0,171.0,19.0,32.0,62.0,63.0,0.0,20.0,13.0,21.0,0.0,20.0
