"GEO_ID","NAME","B03003_001E","B03003_001M","B03003_002E","B03003_002M","B03003_003E","B03003_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino"
"8600000US29353","ZCTA5 29353","4199","444","4181","445","18","30"
"8600000US29364","ZCTA5 29364","578","181","578","181","0","12"
"8600000US29369","ZCTA5 29369","13567","899","13339","891","228","121"
"8600000US29370","ZCTA5 29370","1187","385","1165","385","22","28"
"8600000US29374","ZCTA5 29374","3756","550","3698","545","58","62"
"8600000US29385","ZCTA5 29385","7834","643","6816","631","1018","516"
"8600000US29448","ZCTA5 29448","2309","602","2308","602","1","2"
"8600000US29466","ZCTA5 29466","38267","1184","37347","1238","920","261"
"8600000US29472","ZCTA5 29472","9242","759","8854","752","388","290"
"8600000US29488","ZCTA5 29488","22056","946","21242","931","814","317"
"8600000US29501","ZCTA5 29501","46516","1444","45416","1395","1100","328"
"8600000US29510","ZCTA5 29510","10493","594","10110","592","383","218"
"8600000US29541","ZCTA5 29541","9601","909","9502","902","99","81"
"8600000US29943","ZCTA5 29943","524","349","524","349","0","12"
"8600000US29482","ZCTA5 29482","2148","205","2097","200","51","25"
"8600000US29485","ZCTA5 29485","57000","1967","53304","1959","3696","597"
"8600000US29518","ZCTA5 29518","1042","207","1036","201","6","17"
"8600000US29547","ZCTA5 29547","3524","637","3065","532","459","370"
"8600000US29568","ZCTA5 29568","15066","1156","14727","1185","339","235"
"8600000US29615","ZCTA5 29615","37681","1413","34794","1564","2887","512"
"8600000US29640","ZCTA5 29640","30295","974","28836","981","1459","411"
"8600000US29643","ZCTA5 29643","2088","458","2088","458","0","12"
"8600000US29649","ZCTA5 29649","26598","1121","25829","1089","769","335"
"8600000US29661","ZCTA5 29661","5885","681","5594","674","291","141"
"8600000US29664","ZCTA5 29664","2084","456","2049","452","35","31"
"8600000US29666","ZCTA5 29666","6610","512","6481","472","129","143"
"8600000US29673","ZCTA5 29673","29287","1250","27798","1121","1489","584"
"8600000US29676","ZCTA5 29676","5305","356","5258","363","47","42"
"8600000US29682","ZCTA5 29682","3669","440","3532","444","137","120"
"8600000US29687","ZCTA5 29687","41209","1527","37641","1333","3568","779"
"8600000US29693","ZCTA5 29693","14413","835","14160","838","253","157"
"8600000US29710","ZCTA5 29710","35157","1089","32832","1183","2325","557"
"8600000US29714","ZCTA5 29714","2902","414","2902","414","0","12"
"8600000US29717","ZCTA5 29717","1400","389","1386","387","14","18"
"8600000US29439","ZCTA5 29439","2319","174","2319","174","0","12"
"8600000US29373","ZCTA5 29373","487","174","487","174","0","12"
"8600000US29404","ZCTA5 29404","1981","349","1795","349","186","111"
"8600000US29435","ZCTA5 29435","4379","721","4371","720","8","11"
"8600000US29449","ZCTA5 29449","8265","620","8171","638","94","75"
"8600000US29458","ZCTA5 29458","3195","649","3195","649","0","12"
"8600000US29461","ZCTA5 29461","37133","1268","36070","1222","1063","392"
"8600000US29464","ZCTA5 29464","51379","1143","49828","1133","1551","417"
"8600000US29470","ZCTA5 29470","4900","574","4541","560","359","262"
"8600000US29474","ZCTA5 29474","2136","523","1897","457","239","303"
"8600000US29203","ZCTA5 29203","39518","1471","38264","1389","1254","602"
"8600000US29209","ZCTA5 29209","33590","1253","32026","1277","1564","439"
"8600000US29302","ZCTA5 29302","16958","971","16506","944","452","267"
"8600000US29571","ZCTA5 29571","14140","845","14084","873","56","98"
"8600000US29307","ZCTA5 29307","18121","787","17428","819","693","266"
"8600000US29316","ZCTA5 29316","26719","1214","25699","1151","1020","414"
"8600000US29570","ZCTA5 29570","3402","436","3391","436","11","18"
"8600000US29577","ZCTA5 29577","31816","844","27128","1048","4688","788"
"8600000US29580","ZCTA5 29580","1336","273","1336","273","0","12"
"8600000US29593","ZCTA5 29593","1669","352","1654","349","15","25"
"8600000US29617","ZCTA5 29617","28362","1562","21914","1265","6448","1089"
"8600000US29621","ZCTA5 29621","40931","1064","39643","1047","1288","424"
"8600000US29626","ZCTA5 29626","12570","1083","12002","959","568","489"
"8600000US29631","ZCTA5 29631","15176","407","14800","439","376","188"
"8600000US29644","ZCTA5 29644","21182","947","20051","918","1131","382"
"8600000US29658","ZCTA5 29658","491","258","488","258","3","5"
"8600000US29690","ZCTA5 29690","23217","975","22262","1042","955","360"
"8600000US29692","ZCTA5 29692","4711","566","4641","570","70","65"
"8600000US29696","ZCTA5 29696","5386","701","5039","744","347","179"
"8600000US29727","ZCTA5 29727","1441","335","1399","330","42","42"
"8600000US29810","ZCTA5 29810","4224","303","4175","309","49","64"
"8600000US29840","ZCTA5 29840","323","115","323","115","0","12"
"8600000US29848","ZCTA5 29848","631","162","631","162","0","12"
"8600000US29939","ZCTA5 29939","383","146","383","146","0","12"
"8600000US29046","ZCTA5 29046","143","89","143","89","0","12"
"8600000US29101","ZCTA5 29101","2889","448","2763","462","126","93"
"8600000US29168","ZCTA5 29168","3973","723","3956","724","17","30"
"8600000US29940","ZCTA5 29940","4046","630","3888","648","158","151"
"8600000US29137","ZCTA5 29137","1849","357","1847","356","2","5"
