id,Geographic Area Name,Estimate!!Total,Total_w_HIC,under_19_w_HIC_pop%,19_65_w_HIC_pop%,above_65_w_HIC_pop%,Total_wo_HIC,under_19_wo_HIC_pop%,19_65_wo_HIC_pop%,above_65_wo_HIC_pop%,Estimate!!Total!!Under 19 years,under_19_w_HIC%,under_19_wo_HIC%,Estimate!!Total!!Under 19 years!!With health insurance coverage,Estimate!!Total!!Under 19 years!!No health insurance coverage,Estimate!!Total!!19 to 64 years,19_65_w_HIC%,19_65_wo_HIC%,Estimate!!Total!!19 to 64 years!!With health insurance coverage,Estimate!!Total!!19 to 64 years!!No health insurance coverage,Estimate!!Total!!65 years and over,above_65_w_HIC%,above_65_wo_HIC%,Estimate!!Total!!65 years and over!!With health insurance coverage,Estimate!!Total!!65 years and over!!No health insurance coverage
8600000US60651,60651,26854,20865,0.42089623771866763,0.5060627845674575,0.07304097771387491,5989,0.08615795625313075,0.9058273501419268,0.008014693604942395,9298,0.9445041944504194,0.05549580554958056,8782,516,15984,0.6605980980980981,0.3394019019019019,10559,5425,1572,0.9694656488549618,0.030534351145038167,1524,48
8600000US60652,60652,17479,15391,0.42238970827106753,0.5364173867844845,0.04119290494444806,2088,0.0603448275862069,0.9137931034482759,0.02586206896551724,6627,0.980986871887732,0.019013128112267994,6501,126,10164,0.8122786304604487,0.18772136953955135,8256,1908,688,0.9215116279069767,0.07848837209302326,634,54
8600000US60653,60653,672,645,0.3813953488372093,0.5937984496124031,0.024806201550387597,27,0.2222222222222222,0.7777777777777778,0.0,252,0.9761904761904762,0.023809523809523808,246,6,404,0.948019801980198,0.05198019801980198,383,21,16,1.0,0.0,16,0
8600000US60654,60654,997,997,0.029087261785356068,0.9518555667001003,0.01905717151454363,0,,,,29,1.0,0.0,29,0,949,1.0,0.0,949,0,19,1.0,0.0,19,0
8600000US60655,60655,2390,2268,0.36948853615520283,0.5599647266313933,0.07054673721340388,122,0.21311475409836064,0.7868852459016393,0.0,864,0.9699074074074074,0.03009259259259259,838,26,1366,0.9297218155197657,0.07027818448023426,1270,96,160,1.0,0.0,160,0
8600000US60656,60656,3382,3134,0.28749202297383536,0.5593490746649649,0.15315890236119975,248,0.036290322580645164,0.9637096774193549,0.0,910,0.9901098901098901,0.00989010989010989,901,9,1992,0.8800200803212851,0.11997991967871485,1753,239,480,1.0,0.0,480,0
8600000US60657,60657,4880,4436,0.13300270513976556,0.799819657348963,0.06717763751127141,444,0.07657657657657657,0.8761261261261262,0.0472972972972973,624,0.9455128205128205,0.05448717948717949,590,34,3937,0.9011938023876048,0.09880619761239523,3548,389,319,0.9341692789968652,0.06583072100313479,298,21
8600000US60659,60659,7850,6328,0.3884323640960809,0.538558786346397,0.07300884955752213,1522,0.01576872536136662,0.9842312746386334,0.0,2482,0.9903303787268332,0.009669621273166801,2458,24,4906,0.694659600489197,0.3053403995108031,3408,1498,462,1.0,0.0,462,0
8600000US60660,60660,7691,6038,0.21430937396488903,0.6536932759191786,0.13199735011593242,1653,0.019358741681790685,0.9709618874773139,0.009679370840895343,1326,0.975867269984917,0.024132730015082957,1294,32,5552,0.7109149855907781,0.2890850144092219,3947,1605,813,0.980319803198032,0.01968019680196802,797,16
8600000US60661,60661,640,518,0.02895752895752896,0.971042471042471,0.0,122,0.0,1.0,0.0,15,1.0,0.0,15,0,625,0.8048,0.1952,503,122,0,,,0,0
8600000US60707,60707,16493,14919,0.3536430055633756,0.5474227495140425,0.09893424492258195,1574,0.03875476493011436,0.9612452350698857,0.0,5337,0.9885703578789582,0.011429642121041785,5276,61,9680,0.843698347107438,0.15630165289256198,8167,1513,1476,1.0,0.0,1476,0
8600000US60827,60827,1220,964,0.5259336099585062,0.3941908713692946,0.07987551867219916,256,0.14453125,0.71484375,0.140625,544,0.9319852941176471,0.06801470588235294,507,37,563,0.6749555950266429,0.325044404973357,380,183,113,0.6814159292035398,0.3185840707964602,77,36
