"GEO_ID","NAME","B08105I_001E","B08105I_001M","B08105I_002E","B08105I_002M","B08105I_003E","B08105I_003M","B08105I_004E","B08105I_004M","B08105I_005E","B08105I_005M","B08105I_006E","B08105I_006M","B08105I_007E","B08105I_007M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Car, truck, or van - drove alone","Margin of Error!!Total!!Car, truck, or van - drove alone","Estimate!!Total!!Car, truck, or van - carpooled","Margin of Error!!Total!!Car, truck, or van - carpooled","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home"
"8600000US43964","ZCTA5 43964","6","9","6","9","0","16","0","16","0","16","0","16","0","16"
"8600000US28216","ZCTA5 28216","2056","450","1540","406","346","213","0","29","1","3","13","22","156","93"
"8600000US28277","ZCTA5 28277","2196","339","1552","284","235","137","127","87","8","11","101","145","173","117"
"8600000US28278","ZCTA5 28278","1575","291","1114","262","155","74","0","23","36","45","56","56","214","144"
"8600000US28303","ZCTA5 28303","1373","277","1082","216","174","89","19","29","59","50","20","36","19","30"
"8600000US28314","ZCTA5 28314","3947","461","3260","437","406","140","15","20","45","41","146","76","75","59"
"8600000US28330","ZCTA5 28330","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US28347","ZCTA5 28347","257","124","237","118","0","12","20","20","0","12","0","12","0","12"
"8600000US28351","ZCTA5 28351","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US28357","ZCTA5 28357","150","85","107","77","43","31","0","12","0","12","0","12","0","12"
"8600000US28369","ZCTA5 28369","56","56","16","21","40","45","0","12","0","12","0","12","0","12"
"8600000US28371","ZCTA5 28371","138","128","103","84","35","55","0","17","0","17","0","17","0","17"
"8600000US28392","ZCTA5 28392","6","11","6","11","0","12","0","12","0","12","0","12","0","12"
"8600000US28428","ZCTA5 28428","71","48","30","36","0","17","0","17","0","17","6","12","35","46"
"8600000US28433","ZCTA5 28433","53","72","11","27","42","66","0","17","0","17","0","17","0","17"
"8600000US28435","ZCTA5 28435","22","20","16","19","4","5","0","12","2","4","0","12","0","12"
"8600000US28450","ZCTA5 28450","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US28461","ZCTA5 28461","454","324","389","316","26","38","0","19","0","19","16","28","23","26"
"8600000US28462","ZCTA5 28462","56","169","31","95","0","19","0","19","0","19","19","77","6","12"
"8600000US28537","ZCTA5 28537","3","5","2","4","0","12","0","12","1","2","0","12","0","12"
"8600000US28547","ZCTA5 28547","3914","449","1039","253","835","195","31","39","1544","290","39","41","426","167"
"8600000US28552","ZCTA5 28552","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US28557","ZCTA5 28557","390","140","225","97","130","81","0","19","0","19","27","34","8","12"
"8600000US28560","ZCTA5 28560","603","281","430","194","123","103","0","23","47","69","0","23","3","6"
"8600000US28562","ZCTA5 28562","946","273","643","197","204","178","0","26","0","26","39","67","60","61"
"8600000US28570","ZCTA5 28570","534","146","359","130","93","62","17","28","1","2","64","63","0","23"
"8600000US28574","ZCTA5 28574","651","268","557","249","50","57","0","19","4","8","31","50","9","15"
"8600000US28579","ZCTA5 28579","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"8600000US28373","ZCTA5 28373","24","19","24","19","0","12","0","12","0","12","0","12","0","12"
"8600000US28364","ZCTA5 28364","35","31","28","31","7","8","0","19","0","19","0","19","0","19"
"8600000US28366","ZCTA5 28366","588","235","447","158","141","110","0","17","0","17","0","17","0","17"
"8600000US28377","ZCTA5 28377","620","177","470","145","125","83","0","19","0","19","25","28","0","19"
"8600000US28383","ZCTA5 28383","26","24","19","19","4","10","0","17","3","7","0","17","0","17"
"8600000US28386","ZCTA5 28386","526","166","387","155","139","68","0","17","0","17","0","17","0","17"
"8600000US28398","ZCTA5 28398","777","346","511","314","246","155","0","17","20","31","0","17","0","17"
"8600000US28425","ZCTA5 28425","339","174","285","164","54","46","0","19","0","19","0","19","0","19"
"8600000US28429","ZCTA5 28429","103","133","80","115","23","38","0","17","0","17","0","17","0","17"
"8600000US28464","ZCTA5 28464","247","186","217","180","29","29","0","12","0","12","0","12","1","2"
"8600000US28073","ZCTA5 28073","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"8600000US28098","ZCTA5 28098","185","118","185","118","0","12","0","12","0","12","0","12","0","12"
"8600000US28119","ZCTA5 28119","200","174","53","88","75","79","0","12","72","123","0","12","0","12"
"8600000US28144","ZCTA5 28144","747","197","520","155","184","81","0","23","4","11","39","52","0","23"
"8600000US28150","ZCTA5 28150","234","87","197","82","29","32","0","23","0","23","0","23","8","13"
"8600000US28168","ZCTA5 28168","57","49","57","49","0","19","0","19","0","19","0","19","0","19"
"8600000US28173","ZCTA5 28173","1367","307","1060","256","186","84","0","29","0","29","7","13","114","63"
"8600000US28205","ZCTA5 28205","5233","651","2662","430","1887","480","406","210","105","78","43","43","130","109"
"8600000US28214","ZCTA5 28214","2421","537","1779","392","332","193","30","47","0","26","145","105","135","126"
"8600000US28307","ZCTA5 28307","1759","291","1168","223","203","81","1","3","309","135","11","17","67","65"
"8600000US28315","ZCTA5 28315","354","183","204","119","124","99","0","19","0","19","0","19","26","37"
"8600000US28318","ZCTA5 28318","85","82","14","23","58","54","13","30","0","12","0","12","0","12"
"8600000US28320","ZCTA5 28320","116","71","102","68","0","17","0","17","0","17","0","17","14","18"
"8600000US28333","ZCTA5 28333","1448","294","720","173","558","197","0","19","107","145","0","19","63","51"
"8600000US28730","ZCTA5 28730","217","210","217","210","0","17","0","17","0","17","0","17","0","17"
"8600000US28544","ZCTA5 28544","277","196","194","182","83","90","0","17","0","17","0","17","0","17"
"8600000US28470","ZCTA5 28470","473","302","135","85","222","262","0","19","110","106","6","11","0","19"
